Date,Product_ID,Category,Size,Color,Units_Sold,Stock_On_Hand,Restock_Quantity,Store_Location,Return_Flag,Price,Season
2021-01-01,P6347,Jeans,S,Blue,10,15,14,Mumbai,0,1405.7,Summer
2021-01-01,P1435,Jeans,M,Black,3,61,0,Hyderabad,0,562.21,Summer
2021-01-01,P9863,Jackets,L,Red,4,91,0,Delhi,0,374.94,Monsoon
2021-01-01,P5379,Shirts,M,Red,20,62,0,Hyderabad,0,1031.5,Summer
2021-01-01,P7219,Dresses,XL,Black,0,64,0,Delhi,0,1592.95,Winter
2021-01-01,P5603,Dresses,XL,Green,4,62,0,Delhi,1,709.38,Winter
2021-01-01,P1736,Jeans,S,Green,0,61,0,Hyderabad,0,451.43,Winter
2021-01-01,P1011,Shirts,L,White,5,96,0,Hyderabad,0,955.44,Summer
2021-01-01,P8687,Dresses,L,Red,20,3,48,Hyderabad,1,1127.26,Festive
2021-01-01,P7326,Tops,S,White,7,73,0,Delhi,1,522.28,Monsoon
2021-01-01,P3989,Jackets,M,Blue,14,14,18,Delhi,0,1901.65,Festive
2021-01-01,P4116,Shirts,L,Blue,15,6,8,Hyderabad,1,1959.28,Monsoon
2021-01-02,P4293,Tops,M,Red,1,92,0,Mumbai,1,512.89,Festive
2021-01-02,P7010,Shirts,L,Black,15,44,0,Hyderabad,1,1537.41,Monsoon
2021-01-02,P2244,Dresses,S,White,16,18,29,Mumbai,0,1640.03,Winter
2021-01-02,P8252,Dresses,M,Blue,11,50,0,Mumbai,1,1104.96,Winter
2021-01-02,P7514,Jackets,S,Green,9,42,0,Delhi,0,1756.17,Festive
2021-01-02,P2670,Dresses,XL,Blue,14,66,0,Mumbai,0,1631.67,Monsoon
2021-01-03,P9226,Jeans,M,Blue,5,82,0,Delhi,0,1054.52,Winter
2021-01-03,P5983,Tops,S,Black,13,39,0,Mumbai,0,1763.8,Summer
2021-01-03,P6855,Jackets,L,Black,13,63,0,Delhi,1,1800.23,Monsoon
2021-01-03,P3177,Shirts,L,Green,4,83,0,Mumbai,0,548.58,Summer
2021-01-03,P4507,Tops,XL,Blue,20,80,0,Mumbai,1,592.22,Summer
2021-01-03,P8521,Dresses,M,White,2,89,0,Hyderabad,0,1110.31,Monsoon
2021-01-03,P3061,Jackets,M,Green,8,10,19,Mumbai,1,1665.06,Summer
2021-01-03,P6486,Tops,L,White,5,32,0,Hyderabad,1,1575.95,Monsoon
2021-01-03,P8102,Jackets,M,Blue,0,31,0,Hyderabad,0,1696.2,Summer
2021-01-03,P2702,Tops,S,Red,19,22,0,Mumbai,1,816.98,Festive
2021-01-03,P5080,Jeans,XL,White,14,12,11,Delhi,0,930.66,Monsoon
2021-01-03,P3901,Dresses,L,Blue,1,28,0,Mumbai,0,1077.2,Festive
2021-01-04,P7739,Jackets,L,Blue,8,61,0,Mumbai,1,883.75,Festive
2021-01-04,P8022,Jackets,XL,Red,19,60,0,Hyderabad,0,1380.04,Winter
2021-01-04,P5873,Jackets,L,White,4,7,19,Mumbai,0,483.22,Winter
2021-01-04,P7568,Dresses,M,Black,15,71,0,Delhi,1,1609.39,Festive
2021-01-04,P2380,Dresses,XL,White,7,7,21,Delhi,1,839.32,Summer
2021-01-04,P9256,Dresses,L,Black,0,41,0,Delhi,0,1646.94,Summer
2021-01-04,P8717,Dresses,XL,White,13,35,0,Mumbai,1,748.73,Winter
2021-01-04,P1354,Tops,L,White,8,25,0,Hyderabad,0,706.11,Monsoon
2021-01-04,P1231,Jackets,M,Black,19,15,16,Mumbai,0,1516.51,Monsoon
2021-01-04,P9261,Jackets,XL,White,5,0,19,Delhi,1,1138.39,Winter
2021-01-04,P2326,Tops,XL,White,19,38,0,Mumbai,1,355.51,Summer
2021-01-04,P3602,Tops,L,Blue,17,91,0,Mumbai,0,1887.32,Summer
2021-01-04,P8634,Dresses,XL,Black,14,87,0,Mumbai,1,1645.7,Festive
2021-01-04,P5721,Dresses,XL,Blue,1,17,24,Delhi,0,497.74,Winter
2021-01-05,P5836,Shirts,M,Red,15,89,0,Delhi,0,801.89,Summer
2021-01-05,P8835,Tops,XL,Green,16,91,0,Hyderabad,1,1153.26,Festive
2021-01-05,P6316,Dresses,L,White,17,44,0,Hyderabad,0,1082.37,Monsoon
2021-01-05,P8931,Tops,L,Red,6,41,0,Delhi,1,1367.01,Monsoon
2021-01-05,P5880,Jackets,L,Black,3,25,0,Mumbai,0,715.96,Winter
2021-01-05,P2147,Shirts,L,White,13,78,0,Hyderabad,1,1592.91,Winter
2021-01-05,P2019,Jackets,M,Blue,7,31,0,Mumbai,0,477.12,Festive
2021-01-05,P9558,Tops,M,Red,10,45,0,Mumbai,1,786.4,Festive
2021-01-05,P5179,Jackets,S,Blue,8,36,0,Mumbai,0,863.29,Summer
2021-01-05,P1153,Dresses,S,Red,0,27,0,Hyderabad,0,1185.57,Monsoon
2021-01-05,P2219,Tops,S,Red,1,62,0,Hyderabad,0,1260.45,Summer
2021-01-05,P5152,Tops,XL,Green,17,12,13,Mumbai,1,595.24,Monsoon
2021-01-05,P5671,Shirts,M,Green,5,58,0,Mumbai,1,542.47,Winter
2021-01-06,P4988,Shirts,S,Red,17,71,0,Mumbai,1,498.62,Summer
2021-01-06,P2219,Jeans,S,Black,6,25,0,Hyderabad,1,1759.94,Summer
2021-01-06,P9627,Shirts,M,White,16,83,0,Mumbai,1,377.92,Summer
2021-01-06,P3875,Jeans,M,White,2,98,0,Hyderabad,0,1024.29,Festive
2021-01-06,P8107,Dresses,XL,White,1,95,0,Hyderabad,1,312.81,Festive
2021-01-06,P4381,Tops,XL,Black,15,15,20,Mumbai,0,1769.89,Monsoon
2021-01-06,P3326,Jeans,M,Green,15,17,5,Delhi,0,1660.72,Festive
2021-01-06,P2370,Jeans,S,Red,17,69,0,Hyderabad,0,299.77,Festive
2021-01-06,P9800,Jackets,XL,Red,10,25,0,Mumbai,1,1949.68,Festive
2021-01-06,P2362,Shirts,L,Blue,7,4,9,Mumbai,1,598.73,Monsoon
2021-01-06,P4256,Tops,XL,Blue,13,98,0,Delhi,1,1893.26,Winter
2021-01-06,P2163,Tops,XL,Red,2,51,0,Hyderabad,1,1851.54,Summer
2021-01-06,P9858,Jackets,S,Green,1,53,0,Delhi,0,588.94,Summer
2021-01-06,P4687,Dresses,S,Blue,20,24,0,Mumbai,0,939.97,Festive
2021-01-07,P9551,Jeans,XL,Red,15,68,0,Delhi,1,864.51,Summer
2021-01-07,P3107,Jackets,M,Green,9,52,0,Mumbai,1,1729.1,Summer
2021-01-07,P3826,Dresses,L,Black,6,37,0,Delhi,0,397.07,Winter
2021-01-07,P9825,Jeans,L,White,12,42,0,Delhi,0,1267.87,Summer
2021-01-07,P5234,Tops,S,White,11,57,0,Hyderabad,1,1202.32,Winter
2021-01-07,P6675,Shirts,XL,Green,1,0,9,Delhi,0,1599.11,Winter
2021-01-07,P5552,Dresses,S,Blue,9,37,0,Hyderabad,0,658.97,Festive
2021-01-07,P3157,Jackets,M,Black,16,6,0,Hyderabad,0,1826.3,Monsoon
2021-01-07,P3742,Jeans,XL,White,6,41,0,Mumbai,1,1483.28,Summer
2021-01-07,P1683,Dresses,M,Blue,5,93,0,Mumbai,1,1169.81,Summer
2021-01-07,P3839,Dresses,S,White,16,81,0,Delhi,1,918.4,Festive
2021-01-07,P9576,Jeans,L,White,11,41,0,Hyderabad,1,377.32,Festive
2021-01-07,P7418,Shirts,S,Red,2,24,0,Mumbai,0,586.22,Festive
2021-01-08,P8776,Tops,M,Green,20,75,0,Hyderabad,1,397.74,Festive
2021-01-08,P5167,Dresses,M,Red,9,97,0,Delhi,0,535.31,Monsoon
2021-01-08,P9090,Tops,M,White,18,29,0,Delhi,0,735.55,Festive
2021-01-08,P9940,Tops,L,Green,11,39,0,Hyderabad,1,1749.93,Monsoon
2021-01-08,P9076,Jeans,M,Black,9,51,0,Hyderabad,1,1087.83,Monsoon
2021-01-08,P9688,Jeans,M,Blue,15,0,24,Delhi,1,1621.44,Summer
2021-01-08,P2859,Tops,S,Blue,10,3,34,Hyderabad,1,1123.66,Monsoon
2021-01-08,P8437,Shirts,M,Green,18,72,0,Hyderabad,0,1912.41,Monsoon
2021-01-08,P8821,Dresses,XL,Blue,18,43,0,Mumbai,0,1546.6,Summer
2021-01-09,P8507,Jackets,L,Black,20,76,0,Mumbai,1,478.79,Festive
2021-01-09,P8477,Shirts,XL,Green,11,30,0,Delhi,0,1558.58,Summer
2021-01-09,P2734,Dresses,L,Black,19,94,0,Delhi,0,1181.5,Winter
2021-01-09,P9922,Tops,S,Blue,9,62,0,Delhi,0,1939.08,Monsoon
2021-01-09,P2638,Jeans,M,Green,8,88,0,Hyderabad,1,1664.58,Festive
2021-01-09,P5911,Jackets,L,White,11,75,0,Hyderabad,0,1077.26,Monsoon
2021-01-09,P7197,Tops,XL,Blue,11,6,26,Mumbai,0,583.69,Summer
2021-01-09,P6958,Jeans,M,Blue,14,36,0,Delhi,0,663.49,Winter
2021-01-09,P8377,Shirts,XL,Green,7,94,0,Delhi,1,1661.26,Summer
2021-01-09,P6662,Shirts,L,Green,12,89,0,Delhi,1,956.76,Festive
2021-01-09,P3220,Shirts,M,Blue,18,24,0,Delhi,1,1825.32,Winter
2021-01-09,P5099,Dresses,S,Black,12,2,39,Hyderabad,0,1320.27,Monsoon
2021-01-09,P4215,Dresses,XL,Blue,6,11,34,Hyderabad,0,1513.55,Festive
2021-01-09,P2709,Jackets,S,Green,8,72,0,Delhi,0,1472.44,Winter
2021-01-09,P5990,Jackets,S,Blue,5,13,15,Delhi,1,882.73,Festive
2021-01-10,P9932,Shirts,S,Black,16,6,8,Delhi,0,1236.36,Summer
2021-01-10,P5412,Tops,L,Green,5,27,0,Mumbai,0,1900.33,Festive
2021-01-10,P8652,Dresses,S,Black,8,59,0,Hyderabad,0,637.71,Festive
2021-01-10,P2334,Jackets,S,Black,6,78,0,Hyderabad,1,1254.39,Monsoon
2021-01-10,P4469,Tops,S,Black,7,73,0,Mumbai,1,389.62,Monsoon
